,name,best_seller,link
2,Luz Trasera + Delantera Led Bicicletas Ruta Mtb,True,https://articulo.mercadolibre.com.co/MCO-576577010-luz-trasera-delantera-led-bicicletas-ruta-mtb-_JM#position=3&type=item&tracking_id=4676d48e-6627-417e-bd4d-3dd59320f25d
2033,Luz Trasera + Delantera Led Bicicletas Ruta Mtb,True,https://articulo.mercadolibre.com.co/MCO-576577010-luz-trasera-delantera-led-bicicletas-ruta-mtb-_JM#position=4&type=item&tracking_id=33899437-0ac8-47da-9092-2f1f219e94c9
4086,Luz Trasera + Delantera Led Bicicletas Ruta Mtb,True,https://articulo.mercadolibre.com.co/MCO-576577010-luz-trasera-delantera-led-bicicletas-ruta-mtb-_JM#position=4&type=item&tracking_id=84b8b41c-210b-4181-89ac-aefb5a0e1454
4797,Candado Bicicleta + Guaya Onguard Neon 8154 U Lock,True,https://articulo.mercadolibre.com.co/MCO-455507441-candado-bicicleta-guaya-onguard-neon-8154-u-lock-_JM?searchVariation=36271462034#searchVariation=36271462034&position=5&type=item&tracking_id=bdc703d1-cb6c-40f8-b905-38832c12d983
6796,Luz Trasera + Delantera Led Bicicletas Ruta Mtb,True,https://articulo.mercadolibre.com.co/MCO-576577010-luz-trasera-delantera-led-bicicletas-ruta-mtb-_JM#position=4&type=item&tracking_id=b1373bd1-95d7-45ba-9cc4-e0ee0b4d8757
8854,Rodillos Para Bicicleta En Teflï¿½n Y Acero Inoxidable,True,https://articulo.mercadolibre.com.co/MCO-571876861-rodillos-para-bicicleta-en-teflon-y-acero-inoxidable-_JM#position=5&type=item&tracking_id=9230a52f-65c0-409f-8056-a73775696141
10900,Luz Trasera + Delantera Led Bicicletas Ruta Mtb,True,https://articulo.mercadolibre.com.co/MCO-576577010-luz-trasera-delantera-led-bicicletas-ruta-mtb-_JM#position=4&type=item&tracking_id=4af26bd6-bb56-40cf-8542-2b58daa9db4e
12940,Luz Trasera + Delantera Led Bicicletas Ruta Mtb,True,https://articulo.mercadolibre.com.co/MCO-576577010-luz-trasera-delantera-led-bicicletas-ruta-mtb-_JM#position=4&type=item&tracking_id=a7791878-f519-4968-bef3-3b9e6dcf5246
14976,Luz Trasera + Delantera Led Bicicletas Ruta Mtb,True,https://articulo.mercadolibre.com.co/MCO-576577010-luz-trasera-delantera-led-bicicletas-ruta-mtb-_JM#position=4&type=item&tracking_id=f30a5690-a5d3-4d53-88b6-92c13476e66c
17032,Luz Trasera + Delantera Led Bicicletas Ruta Mtb,True,https://articulo.mercadolibre.com.co/MCO-576577010-luz-trasera-delantera-led-bicicletas-ruta-mtb-_JM#position=4&type=item&tracking_id=1349df80-6830-4128-9fc0-6d53c8b02812
19092,Casco Bicicleta Bell Strat No Fox Mtb Ruta Ciclismo,True,https://articulo.mercadolibre.com.co/MCO-583052681-casco-bicicleta-bell-strat-no-fox-mtb-ruta-ciclismo-_JM?searchVariation=64200965493#searchVariation=64200965493&position=1&type=item&tracking_id=41547225-fd7f-4db4-b20d-a2d700b759c4
20088,Luz Trasera + Delantera Led Bicicletas Ruta Mtb,True,https://articulo.mercadolibre.com.co/MCO-576577010-luz-trasera-delantera-led-bicicletas-ruta-mtb-_JM#position=4&type=item&tracking_id=2dc7592f-c241-465f-a0b4-d1a074689b72
22134,Bicicicleta Roadmaster Hurricane 29  Shimano Revoshift 21vel,True,https://articulo.mercadolibre.com.co/MCO-532672853-bicicicleta-roadmaster-hurricane-29-shimano-revoshift-21vel-_JM?searchVariation=58803462319#searchVariation=58803462319&position=1&type=item&tracking_id=fa52e186-7605-4107-90a9-c974457c524f
24150,Bicicicleta Roadmaster Hurricane 29  Shimano Revoshift 21vel,True,https://articulo.mercadolibre.com.co/MCO-532672853-bicicicleta-roadmaster-hurricane-29-shimano-revoshift-21vel-_JM?searchVariation=58803462319#searchVariation=58803462319&position=1&type=item&tracking_id=570182da-9801-4f66-8b11-567e9a931cfe
24460,Bicicicleta Roadmaster Hurricane 29  Shimano Revoshift 21vel,True,https://articulo.mercadolibre.com.co/MCO-532672853-bicicicleta-roadmaster-hurricane-29-shimano-revoshift-21vel-_JM?searchVariation=58803462319#searchVariation=58803462319&position=1&type=item&tracking_id=c86c88a3-b303-404f-86aa-f4f2933c3587
26534,Bicicicleta Roadmaster Hurricane 29  Shimano Revoshift 21vel,True,https://articulo.mercadolibre.com.co/MCO-532672853-bicicicleta-roadmaster-hurricane-29-shimano-revoshift-21vel-_JM?searchVariation=58803462319#searchVariation=58803462319&position=1&type=item&tracking_id=8098839b-01b0-4d56-908d-76f827057889
28578,Bicicleta Gw Zebra Montaï¿½a Rin 29 Tourney 7 Vel Bloqueo Mtb,True,https://articulo.mercadolibre.com.co/MCO-546646711-bicicleta-gw-zebra-montana-rin-29-tourney-7-vel-bloqueo-mtb-_JM?searchVariation=49819151895#searchVariation=49819151895&position=3&type=item&tracking_id=ec2da6a1-adfd-49a2-943f-2f0a20abf8a3
29995,Bicicicleta Roadmaster Hurricane 29  Shimano Revoshift 21vel,True,https://articulo.mercadolibre.com.co/MCO-532672853-bicicicleta-roadmaster-hurricane-29-shimano-revoshift-21vel-_JM?searchVariation=58803462319#searchVariation=58803462319&position=1&type=item&tracking_id=d28558ef-ee65-4a9a-ac96-cdda550dfbc5
30096,Bicicleta Xaurator Aluminio Rin 27.5 Shimano + Cam Deportiva,True,https://articulo.mercadolibre.com.co/MCO-520092454-bicicleta-xaurator-aluminio-rin-275-shimano-cam-deportiva-_JM?searchVariation=39394881325#searchVariation=39394881325&position=1&type=item&tracking_id=9701b47c-ae1c-4adb-958d-136bc913cc35
32111,Bicicicleta Roadmaster Hurricane 29  Shimano Revoshift 21vel,True,https://articulo.mercadolibre.com.co/MCO-532672853-bicicicleta-roadmaster-hurricane-29-shimano-revoshift-21vel-_JM?searchVariation=58803462319#searchVariation=58803462319&position=1&type=item&tracking_id=baee53dc-fb86-42b8-9f48-a0322780d297
34111,Bicicicleta Roadmaster Hurricane 29  Shimano Revoshift 21vel,True,https://articulo.mercadolibre.com.co/MCO-532672853-bicicicleta-roadmaster-hurricane-29-shimano-revoshift-21vel-_JM?searchVariation=58803462319#searchVariation=58803462319&position=1&type=item&tracking_id=06f50de4-3201-45ed-a382-611ac63a74ac
36143,Bicicleta Todoterreno Mtb Base Negro Hombre - Mujer Rin 29,True,https://articulo.mercadolibre.com.co/MCO-607921634-bicicleta-todoterreno-mtb-base-negro-hombre-mujer-rin-29-_JM?searchVariation=76347957657#searchVariation=76347957657&position=13&type=item&tracking_id=713fb145-fa3b-4b65-92e8-8fb689fced6f
38145,Bicicleta Niï¿½o Gw Fireman Doble Freno Con Auxiliar Rin 12,True,https://articulo.mercadolibre.com.co/MCO-459107195-bicicleta-nino-gw-fireman-doble-freno-con-auxiliar-rin-12-_JM?searchVariation=69615339610#searchVariation=69615339610&position=1&type=item&tracking_id=f1901157-4bee-421a-8187-ff254be624c2
40145,Bicicicleta Roadmaster Hurricane 29  Shimano Revoshift 21vel,True,https://articulo.mercadolibre.com.co/MCO-532672853-bicicicleta-roadmaster-hurricane-29-shimano-revoshift-21vel-_JM?searchVariation=58803462319#searchVariation=58803462319&position=1&type=item&tracking_id=21458201-b8ce-43f1-838d-646879c9d074
40234,Bicicicleta Roadmaster Hurricane 29  Shimano Revoshift 21vel,True,https://articulo.mercadolibre.com.co/MCO-532672853-bicicicleta-roadmaster-hurricane-29-shimano-revoshift-21vel-_JM?searchVariation=58803462319#searchVariation=58803462319&position=1&type=item&tracking_id=07457f93-0f1c-4f0d-9465-61522b08b190
42249,"Kit Bicicleta Electrica + Bateria + Garantia Rin 29, 26, 24",True,https://articulo.mercadolibre.com.co/MCO-482882472-kit-bicicleta-electrica-bateria-garantia-rin-29-26-24-_JM#position=2&type=item&tracking_id=fd05c495-baee-4088-ac58-1d18a07770ce
44287,Acelerador Velocidades Bicicleta Elï¿½ctrica,True,https://articulo.mercadolibre.com.co/MCO-599115271-acelerador-velocidades-bicicleta-electrica-_JM#position=19&type=item&tracking_id=710e46f9-b64f-4b21-821d-98b3d588dcc8
45106,Acelerador Velocidades Bicicleta Elï¿½ctrica,True,https://articulo.mercadolibre.com.co/MCO-599115271-acelerador-velocidades-bicicleta-electrica-_JM#position=13&type=item&tracking_id=8dafc36e-5e74-450c-879a-7286411cf85c
47103,"Kit Bicicleta Electrica + Bateria + Garantia Rin 29, 26, 24",True,https://articulo.mercadolibre.com.co/MCO-482882472-kit-bicicleta-electrica-bateria-garantia-rin-29-26-24-_JM#position=4&type=item&tracking_id=0c9f8a65-3077-4fb0-9273-080d13b57213
49254,Acelerador Velocidades Bicicleta Elï¿½ctrica,True,https://articulo.mercadolibre.com.co/MCO-599115271-acelerador-velocidades-bicicleta-electrica-_JM#position=23&type=item&tracking_id=8e96cfdb-8b3f-4777-8b6f-db3ec3d88da3
50781,Acelerador Velocidades Bicicleta Elï¿½ctrica,True,https://articulo.mercadolibre.com.co/MCO-599115271-acelerador-velocidades-bicicleta-electrica-_JM#position=1&type=item&tracking_id=b44db8ff-45e0-4219-ad04-86c64270c67b
50917,"Kit Bicicleta Electrica + Bateria + Garantia Rin 29, 26, 24",True,https://articulo.mercadolibre.com.co/MCO-482882472-kit-bicicleta-electrica-bateria-garantia-rin-29-26-24-_JM#position=2&type=item&tracking_id=52d0eda7-6470-4ae0-8465-ef262ef9b184
