,name,link,price,price_discount,best_seller,promotional,category_id,number_sales,seller,delivery,rating,new_product
0,Casco Ciclismo Armor On Trail Bicicletas Ruta Mtb Luz Integr,https://articulo.mercadolibre.com.co/MCO-564906802-casco-ciclismo-armor-on-trail-bicicletas-ruta-mtb-luz-integr-_JM?searchVariation=69130837307#searchVariation=69130837307&position=1&type=item&tracking_id=f3609db1-7113-43db-8da0-d33ee36cc439,79.900,,False,False,MCO12214,  1568 vendidos,HELLOFTHENORTHSTORE,,4.8,Nuevo
1,Velocï¿½metro (odï¿½metro) Para Bicicleta,https://articulo.mercadolibre.com.co/MCO-589123637-velocimetro-odometro-para-bicicleta-_JM#position=2&type=item&tracking_id=f3609db1-7113-43db-8da0-d33ee36cc439,17.500,,False,False,MCO12214,  141 vendidos,BUNKERBIKER,,4.5,Nuevo
2,Soporte Pared Bicicleta 30kg Original 2 Unid Torni +obsequio,https://articulo.mercadolibre.com.co/MCO-468268025-soporte-pared-bicicleta-30kg-original-2-unid-torni-obsequio-_JM?searchVariation=41216011454#searchVariation=41216011454&position=3&type=item&tracking_id=f3609db1-7113-43db-8da0-d33ee36cc439,29.800,,False,False,MCO12214,  3271 vendidos,KORINTIO.COM,,4.7,Nuevo
3,Luz Trasera + Delantera Led Bicicletas Ruta Mtb,https://articulo.mercadolibre.com.co/MCO-576577010-luz-trasera-delantera-led-bicicletas-ruta-mtb-_JM#position=4&type=item&tracking_id=f3609db1-7113-43db-8da0-d33ee36cc439,29.900,,True,False,MCO12214,  2893 vendidos,HELLOFTHENORTHSTORE,,4.3,Nuevo
4,Casco Mtb Enduro Certificado Cairbull Bicicleta +obsequio,https://articulo.mercadolibre.com.co/MCO-479706010-casco-mtb-enduro-certificado-cairbull-bicicleta-obsequio-_JM?searchVariation=73206015772#searchVariation=73206015772&position=5&type=item&tracking_id=f3609db1-7113-43db-8da0-d33ee36cc439,149.900,,False,False,MCO12214,  581 vendidos,KORINTIO.COM,,4.9,Nuevo
5,Soporte De Pared Para Bicicleta Gancho + Chazos Y Tornillos,https://articulo.mercadolibre.com.co/MCO-483446339-soporte-de-pared-para-bicicleta-gancho-chazos-y-tornillos-_JM?searchVariation=65229860839#searchVariation=65229860839&position=6&type=item&tracking_id=f3609db1-7113-43db-8da0-d33ee36cc439,16.990,,False,False,MCO12214,  1921 vendidos,KONEET,,4.7,Nuevo
6,Porta Bicicletas X 3 Soporte Carro Cicla + Envï¿½o Gratis,https://articulo.mercadolibre.com.co/MCO-483494074-porta-bicicletas-x-3-soporte-carro-cicla-envio-gratis-_JM#position=7&type=item&tracking_id=f3609db1-7113-43db-8da0-d33ee36cc439,179.900,,False,False,MCO12214,  1652 vendidos,KONEET,,4.3,Nuevo
7,Casco Ciclismo Armor On Trail Bicicletas Ruta Mtb Luz Integr,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=3lYo3AItkZ1cqjkDnWnSBf9%2BFraZUbWplr42DJX%2Fke5tYNQHeoFtYvYAYcWyM2q%2BokKm00tBfdomXCrdDVUS%2FAnbHnPPUBii6WWUvTCfq6oK44WIrBSi61yMCHkKCriUUVmsW3CamXiTtJItQEqLvdSNvoH3f84sTsJbrIlxEGa%2BMNKJLmyrKUDrLa0O7uTse8wU6lds1KdkSe8U31UwHQZlK7MoYPDCaPZEVuz7%2FC%2BLKy1k6G%2FWi5A%2BQ00FovEFmbY1SAuZQXoYdjQd1Tzj%2FOoIqmw%2Fj%2BsaxgZPqdnCKgJJ25edSakoEgjpRFHLbOssBJMZpDpjXG4b0lv6%2FNkYCUfeLXmdJFAg0FPnT5nufTxmo2i6%2FNoQZ6kmkM2w9%2BszvsHkufyS6lwVvDvGlxCajcQsPh41UF8rjkhabutdT4Hk3bJmo0BtqQ%2FHKCvvcmS1%2FP1fKqHYt%2FmYyJ%2FnHHHf19qXqGx59A%2BhcJUARUT8wQ0AxTtTXQveamMGQbYtMDKZvLEfx90dfBleN2iSPxnIhFmq%2BXeRLnWXy6ASmzlYWTX1%2FgHiv%2B366gHeaSF5HHsOH5Z3jFz8HoO1EgFXpzK4L%2BBQIT2Vs9AAy5a0eskfisAUg4YCT7uFrdU3HTzYCmKHVa5a%2BsQJo8gmV6Rm0uh7cIH5fWIu5rEFkVK3kQ7LSKaREcFBvRvKTBEGU8t28L6LShrhd52Y3j22j2OtspLHPfj2v4h2jawAaLwlkPR0MgDQ4Lf9qFUQd7bka2n2Lz78YiWFL5vY%2FcFymPTPETOD%2FH4CFXCz%2BYKRPJoU9FnJgI2hm3KRCbUFufZEp7wUb5mIRGKq%2Fj65unf1tHadehQbESty7xYWbAJkSdrDF900FFgH7tAFT%2F3gZf4i9FSDT%2B%2B%2B6%2BQ0kEaWPZo4TU1PSw8hZ4MynCAClVQnHadifEsBvYFF7zlPjALVT7AH2A6P87BTiFz3ae5PL8vWcZTtDvdHAQhtJDwhekp%2FtmiqTeLT94AH4tBsq%2FB4cjo4j%2FrHElyYYpllayhiPeaNdkch466QgGL9YxFKVK%2BcH0jbx6vsC8IcVp%2BSc5qswNRRqcY8Ln8B7sBRANnsF6l6kTZ0GoKZy3gz1wVgBQM4%2Fujad6HfFWaSXfuWyVcYQ%2B4gzFT7iWtZTNlUyaBzecbrZ9nisaJo4OhV%2BqE%2FEnx6VsW27kyPY2Lp8CgQoYaWyu5gOn7K4uPiMtHMG8NP4hJddmou94X6mab1ralG8hueUf2RgMF68Y8OToTypVphsX9DAp5Mpw0sLHMEGeGCuIgFgrialFYe4vgYwvNPU3u%2BGdBwq8d6cfT5C7O8yzRwT0FNugWize6Pv0ZcywMDLnZxk51EEqh1rnR1%2BzkttcizSVg23Qsj%2BC8dC%2Bym6U64Rw4vjYirp1r15QsBH5AkBZ7e9WA82yPaK6Y1Y3FOhVnVhmt%2Bj5P1IxJVrqig5en7I5WDSRFhWmwJHwUvO9rIlpeZqT7HZ8xo4cmVuDVlR9KSG2rIP2cjB%2FDA02ZEXGXrGzIHQ6hUvcH7on1TrxdOY8Rs%2FdUHDVnBPYjyWIbsK1%2Fs,79.900,,False,True,MCO12214,  1568 vendidos,HELLOFTHENORTHSTORE,,4.8,Nuevo
8,Luz Trasera + Delantera Led Bicicletas Ruta Mtb,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=YwQyGBT4B%2Ft7J1DH3JhExdFpP20VKyHE%2BHjoDEgNsAY%2BGAFxV18Iwa2uoWMiVen%2FRFnjyGbdQNAFAxD%2BkF1hpLtXw8wZArPHLDb%2BjAT%2B1sJSqFOBt%2FcLqH1O5q553t3iRtQ%2Bj85m54hUpIs1EIsCivcZpZtY%2FmiWPvrZNm%2BeardA7OPQCm8oYZawH01htFaIBalTotZcfDoHCoUgrMGEK4Acn5AhhgkI90DvdssO0zqwrNuIswRUzA2UqFGWOw4EbKZOlxG%2BjSdSi2RvyCuTOOr6gOir%2BMa%2BZuFofNZ7Rn4lbIS5Tpt0Bj9jOtKjng%2BjwSk7XfBlMen5hiYMAIW8bDtg%2FsO2rFl5NWHWqAdGvNgLh23elMzQn2BHANFFli6FEAP0dqytyz87MyLpv4v6QJVHmnSRdHxRxUsp7l9as4tFkBPYTVurS2JWIqVvLbIIT1FJuzWZue5kHgBP9kj%2B4Uzcx%2BYgqV4WsSIb3OiQ28PcfhTnbvUux18svvoXsZzdlcH50hALB9%2FWoB9VDJ%2FIYks0Rw8ut3HGWXduWHWw4pDlJFo5oXakvgnZa9Ax%2Bn2cuhYuecwq3gBlFirQuYt906pdtjEM74FwDfGYDiDAb4y9JcOvOYoWSGUQqp0zrwC3oIppkN0ex8uI5ROPPY4F4Ie0Y2ISxGxWg36jgF2ZPzB0O8Jn6kBvKizPMOoepfjUk1dVyryKEr4d6eFwmoQcud3DHEuplUP3FGUkw8tqbblBVX0A1W3SdUbdU3solw4CmmRDiRoO%2BapGM3it1ntPEZ8MwrS%2FnCmDiML4sJcxdGgalfZm9t7rRSltebksvz4AAVhF2BT7IDKAMTDjXldF%2FRfR%2FylTOQ7W5f%2B2AgCiemYQGe2WrNxMEO69ncKhIwobDkhgdqqKkcpG95qf05FYz%2FApPD656oVJzkZpVsGfM6hlFoAUj1ui2TCN%2Fll5yMoiM%2BfS5n7Gv4o64H7cB1caJ2QM8iHRlCpvX5ULiQFcL6VL5rbtbFTO1iIlKORAacv%2BITnrw4iDHkl7D1dLf2SluXw31a37n6lrAKhsxNb%2BUWrjUlHxJLn16%2B8lTn9dHMvj38VsdFBhrKAzylhydDohP%2B6e0y1O2NXWtEVlPj0YcwCaXFwRyVJ2XYEtNNPhEq73AZHmioj%2Fp4q7ObfakjglskbmqBzhnKTatUtm%2B1%2B3Wi0QK4cJKmkP0i3BELnzWiIDTdk1sMgEtMACNbZ7xL4015CbgIvX1DZmBy1MwJqPnHRozP3k%2BL5bSobQFMqid10qFltsX3RGRWZ1wmJrEZlislH%2F2BbuDJx%2FEKUvmNWvkbAYeY829Ri0Avnv1apMfVsJJ3ILokG%2F11QlbnDZP4Cv9g4KkfHV9xoklFGzfDUB%2BxIPOZ3lkKPnHUD20vHZzF6KQbg6H%2BVoAPUrdBpnYeQSdgae0KItlw53%2FP8qQiE1k6kM79wpOakfx8toMfBTCC1HYqXNPHhL5Ii2EA8mjx%2FRLX%2BN0JfvaAEtKA%3D%3D,29.900,,False,True,MCO12214,  2893 vendidos,HELLOFTHENORTHSTORE,,4.3,Nuevo
9,Soporte Para Bicicleta Pared,https://articulo.mercadolibre.com.co/MCO-508212955-soporte-para-bicicleta-pared-_JM?searchVariation=49784024924#searchVariation=49784024924&position=10&type=item&tracking_id=f3609db1-7113-43db-8da0-d33ee36cc439,15.600,,False,False,MCO12214,  2190 vendidos,HELLOFTHENORTHSTORE,,4.7,Nuevo
