name,link,price_simbol,price,price_discount,best_seller,promotional
Bicicleta Mercurio Evergreen R16 Rosa Mo...,https://www.linio.com.mx/p/bicicleta-mercurio-evergreen-r16-rosa-morado-jrdcmn?qid=9f1809bb384d6109c23de67250aa7ea8&oid=ME985SP1KOMW7LMX&position=1&sku=ME985SP1KOMW7LMX,,"$2,399.00",- 40%,False,False
Bicicleta Mercurio DH ZTX 26 Rojo 2020...,https://www.linio.com.mx/p/bicicleta-mercurio-dh-ztx-26-rojo-2020-vbmwjd?qid=9f1809bb384d6109c23de67250aa7ea8&oid=ME985SP0FV03HLMX&position=2&sku=ME985SP0FV03HLMX,,"$2,999.00",- 24%,False,False
Bicicleta Mercurio KAIZER R29 MTB NegroR...,https://www.linio.com.mx/p/bicicleta-mercurio-kaizer-r29-mtb-negrorojo-yl1kdp?qid=9f1809bb384d6109c23de67250aa7ea8&oid=ME985SP04UOPWLMX&position=3&sku=ME985SP04UOPWLMX,,"$4,199.00",- 6%,False,False
Bicicleta Mercurio KAIZER R29 MTB Negro/...,https://www.linio.com.mx/p/bicicleta-mercurio-kaizer-r29-mtb-negro-verde-ynfaql?qid=9f1809bb384d6109c23de67250aa7ea8&oid=ME985SP02Y3L0LMX&position=4&sku=ME985SP02Y3L0LMX,,"$4,199.00",- 19%,False,False
Bicicleta Veloci Amore Mio BMX Rodado 16...,https://www.linio.com.mx/p/bicicleta-veloci-amore-mio-bmx-rodado-16-azul-qe5wn8?qid=9f1809bb384d6109c23de67250aa7ea8&oid=VE138SP0W9NLMLMX&position=5&sku=VE138SP0W9NLMLMX,,"$1,679.00",- 30%,False,False
Bicicleta Veloci Ozark Trail OZ 1 Rodado...,https://www.linio.com.mx/p/bicicleta-veloci-ozark-trail-oz-1-rodado-26-gris-yo1i28?qid=9f1809bb384d6109c23de67250aa7ea8&oid=VE138SP0278IVLMX&position=6&sku=VE138SP0278IVLMX,,"$2,274.00",- 30%,False,False
Bicicleta Cruiser Dama R26 Azul 2020...,https://www.linio.com.mx/p/bicicleta-cruiser-dama-r26-azul-2020-lhbb4s?qid=9f1809bb384d6109c23de67250aa7ea8&oid=ME985SP1CR8WBLMX&position=7&sku=ME985SP1CR8WBLMX,,"$3,399.00",- 43%,False,False
Bicicleta Mercurio LIFE R24 6v Purpura B...,https://www.linio.com.mx/p/bicicleta-mercurio-life-r24-6v-purpura-brillante-s326uz?qid=9f1809bb384d6109c23de67250aa7ea8&oid=ME985SP0OKCK4LMX&position=8&sku=ME985SP0OKCK4LMX,,"$4,999.00",- 9%,False,False
Oferta Ilimitada Bicicleta Mercurio DH Z...,https://www.linio.com.mx/p/oferta-ilimitada-bicicleta-mercurio-dh-ztx-29-naranja-2020-tpvuun?qid=9f1809bb384d6109c23de67250aa7ea8&oid=ME985SP0K36HPLMX&position=9&sku=ME985SP0K36HPLMX,,"$3,899.00",- 9%,False,False
Bicicleta Ranger Aluminio 29 Mercurio Es...,https://www.linio.com.mx/p/bicicleta-ranger-aluminio-29-mercurio-esmeralda-wzl5b5?qid=9f1809bb384d6109c23de67250aa7ea8&oid=ME985SP09A5F7LMX&position=10&sku=ME985SP09A5F7LMX,,"$4,999.00",- 28%,False,False
Bicicleta Mercurio Ranger 26 Naranja 202...,https://www.linio.com.mx/p/bicicleta-mercurio-ranger-26-naranja-2020-x2quox?qid=9f1809bb384d6109c23de67250aa7ea8&oid=ME985SP063HRXLMX&position=11&sku=ME985SP063HRXLMX,,"$4,999.00",,False,False
Bicicleta Mercurio DH ZTX 29 Gris-Negro...,https://www.linio.com.mx/p/bicicleta-mercurio-dh-ztx-29-gris-negro-2020-lhzf73?qid=9f1809bb384d6109c23de67250aa7ea8&oid=ME985SP1C2JX9LMX&position=12&sku=ME985SP1C2JX9LMX,,"$3,899.00",- 7%,False,False
Bicicleta Veloci Street Cross Little Gir...,https://www.linio.com.mx/p/bicicleta-veloci-street-cross-little-girl-rodado-14-blanco-tme4o3?qid=9f1809bb384d6109c23de67250aa7ea8&oid=VE138SP0MMN59LMX&position=13&sku=VE138SP0MMN59LMX,,"$1,469.30",- 30%,False,False
Ropa De Ciclismo Hombre Invierno Maillot...,https://www.linio.com.mx/p/ropa-de-ciclismo-hombre-invierno-maillot-ciclista-chaqueta-arsuxeo-arj15-k-verde-tlytsl?qid=9f1809bb384d6109c23de67250aa7ea8&oid=PR191SP0NHIJILMX&position=14&sku=PR191SP0NHIJILMX,,"$1,026.00",- 13%,False,False
Juego de Mandos Vital 340056 REVOSHIFT T...,https://www.linio.com.mx/p/juego-de-mandos-vital-340056-revoshift-tourney-sl-rs25-3x6vel-lcmisr?qid=9f1809bb384d6109c23de67250aa7ea8&oid=VI636SP1H2LELLMX&position=15&sku=VI636SP1H2LELLMX,,$120.00,- 36%,False,False
Guantes Para Ciclista Vital Azul De Gel...,https://www.linio.com.mx/p/guantes-para-ciclista-vital-azul-de-gel-n4d300?qid=9f1809bb384d6109c23de67250aa7ea8&oid=VI636SP16QSTULMX&position=16&sku=VI636SP16QSTULMX,,$169.00,- 43%,False,False
