name,link,price_simbol,price,price_discount,best_seller,promotional
Guayos Slatan Negro-rojo Para Hombre Croydon,https://articulo.mercadolibre.com.co/MCO-564695644-guayos-slatan-negro-rojo-para-hombre-croydon-_JM?searchVariation=57101444455#searchVariation=57101444455&position=1&type=item&tracking_id=1cbdcadf-6578-4e5b-9bc5-65c9ee73482b,$,94.900,,False,False
Camiseta Hombre Nike Atlético Nacional Tee Crest,https://articulo.mercadolibre.com.co/MCO-590565157-camiseta-hombre-nike-atletico-nacional-tee-crest-_JM?searchVariation=66432252167#searchVariation=66432252167&position=2&type=item&tracking_id=1cbdcadf-6578-4e5b-9bc5-65c9ee73482b,$,29.950,,True,False
Balón Futbol Sala Golty Competition Laminado,https://articulo.mercadolibre.com.co/MCO-573192864-balon-futbol-sala-golty-competition-laminado-_JM?searchVariation=60824077808#searchVariation=60824077808&position=3&type=item&tracking_id=1cbdcadf-6578-4e5b-9bc5-65c9ee73482b,$,45.550,,False,False
Zapatilla Torretin Profesional Golty Shock Verde-negro-30858,https://articulo.mercadolibre.com.co/MCO-539254270-zapatilla-torretin-profesional-golty-shock-verde-negro-30858-_JM?searchVariation=45362253069#searchVariation=45362253069&position=4&type=item&tracking_id=1cbdcadf-6578-4e5b-9bc5-65c9ee73482b,$,129.000,,False,False
Guayos De Fútbol Maracaná Originales Clásicos En Cuero,https://articulo.mercadolibre.com.co/MCO-485586015-guayos-de-futbol-maracana-originales-clasicos-en-cuero-_JM?searchVariation=27676237158#searchVariation=27676237158&position=5&type=item&tracking_id=1cbdcadf-6578-4e5b-9bc5-65c9ee73482b,$,75.000,,False,False
Petos En Malla Pool Con Elástico A Los Costados,https://articulo.mercadolibre.com.co/MCO-539487256-petos-en-malla-pool-con-elastico-a-los-costados-_JM?searchVariation=48902236255#searchVariation=48902236255&position=6&type=item&tracking_id=1cbdcadf-6578-4e5b-9bc5-65c9ee73482b,$,6.500,,False,False
Zapatilla Torretin Profesional Golty Shock- Sku 30857,https://articulo.mercadolibre.com.co/MCO-539254118-zapatilla-torretin-profesional-golty-shock-sku-30857-_JM?searchVariation=45362156448#searchVariation=45362156448&position=7&type=item&tracking_id=1cbdcadf-6578-4e5b-9bc5-65c9ee73482b,$,129.000,,False,False
Mini Arcos De Fútbol Plegables Cancha Portátil + Balón Plást,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=j9c1mLG%2BuAm8o5PfksyDPpYzo1RW8DG39atYSg%2FZ0VsXEXWSu1CWdtsiotP7jMGBcqBXQ6T4w%2B%2FrxVnL2Rxo4Em0H4rcYLpkn3IDgXipVY%2F1yiZkOOo36rZXqVtUEC%2BlKQhMtA4%2FCJTwCf5ApIdvfxBtM8kOUGC9l7daELBSjOSYbCYXiLngn8jgpSRHrPV4ujCerRl7Akq50ShttxZTDONEu1bu2DJWsbiaa8ZJmJ3GVomwOykoMpjw1UxdiaZzTE8yqKek1wbOBZDHBDnbpSVg%2FrbtBSfUZsxUycD1rOetRo8i%2F38%2FpOsZZROGw2WxVyQ0hOHWcBQium4V50tHULwAl2bZypFmawHZpcu8cCOuKffItv8KN0TF%2FcXAyL9TbwWEhxkt5Z69w182KLxTBayuvIs3PjF6uNWVRl7ZbeuP9lDW5nNDV1eYwa3N%2F8SAEBG70HBpgeTFJg0ZuoWKVTcxE9Dlj5Rnbgqg9uDfXgd1KBhhQpOP2%2BXJMeo6bvBkcsjRVc6K3geR6aAPHhi56vVMIV3gdUxMvvoGbVGSGUZyzUA1NfOmMWj%2B%2FwRwJxNgVaVLbwiF4TOYKYkluiWn%2BlTUPU3gJh5S7bYbwBF2NhoErg6%2Bjk2wsD8bP%2FOMeWCN6y%2FpH1djWG3VwLhklUPy2jdhbE1QdRi%2B2gvdIekzzavfkkijBpTqWVgsK7Q33UWrEm45bSli7EIEtCqfyHYWuqzw3w5nl81CgijycQRWSkv9qBt94SJaIzzW1ydYBW4KNDRetESq2SSG0wUpvFKL7yYLEDufEEuc8t%2BjhpbEsWuROqtO6ABiD4Nyyma%2F7P9wk32N9xE3%2FpUqGkvjnbNdw5e07Aob9ccPzwWsjpms8Ib7JiJ2NIHswjgl2HyGZUcNDmjx4rbB0lIeKtXXgso37wl9ljCQHC269vXZPDgS1OFqXCQWfDA05M7XRsSyVLjQZmiNy4ALECQgrvUcip7bYDBD%2BspfLIZnlzFYmpIGa605cm7SwBTdqmTvXzMZ2BVT%2FxJd7NYoFpBNxUoFjwBBkm8I6nrc09HbNGtT0ltKGG%2FjXokYqNmOP9Eoo7nsSCFlVhQwLucRgCs9hRhH7qlm1cULHzLsp1GuhxWO7HSVWU8SbwVBVFDwqdi%2BsZIAVPoWJUcg6UidVr50Z5N8mS4nBN3CGE%2FcAeFExlJw9ON%2FCCc1qQO%2B%2FDzkoreg4Au8IBUVicobM0rVDaOyO1L8Uf3eiN9fQmJLjO7KD%2FcwxrufpUzgoeDKT0IZbQ5tybyTmkgw0LuvW2rBJTIzIF8qD1NhHn6ZdeghV3QfV%2BJSJVh4wXlgPU%2BPvnP6JF9Xlkx7J0ZvDzt5m2gqLyhxB6awNGet1IiwlLib1uVRqpAKYxGUrDnoFLtSaBYUC%2Buv0im0QB3LL1K%2BDhKajdOa1izm1lWsgQh%2F9AMd6iayXPjjc4DGTSpL0t3UTcfGJQq0uNd2eol57gD%2FvajvnXuC8w%3D%3D,$,17.900,,False,True
Combo Fútbol Balón Flotante Hoverball + Arcos Plegables,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=l8TdZYX%2FQkfTI%2FppCDAdukfuZD4ziUU5hbKgHWTFHkHpJCXw0y7befYdw0q%2B9nch0EF2HUypYkk6ThwjKg9NnoF9BB5NqFXBdai9338HfD8xUc%2BdNlB1koeZdNg7M8GCtiWUuCpH21lecMhrbe02IirJDfoHQtkEJhRmuNEdtl91K3uVrCR%2F2GGRF9%2FuV7OmhYwvUYhkceqQr8eSsJAkS6jNvSnR%2B8alcDIqQZREUo2KrVM6tgWcf9VOCprw36UvjCENnF3%2BH%2BAodzY2NOtWVv7FFQODCr98JKhJUM6L%2FUM7RqzF19gTe%2BHZRzwfJmhfIbPrcWu5A%2Fe0mVxXd9oGpbiX3iAcP%2F8z49acK7Sdrw1N2sdRyv0%2FBmSJvVycYWUTDg9ITAu27QAxEAd5kDfu8FSMbOuNrEPxx7IzpY%2BwnompfMDlertaXw%2BXeIJ%2BDiF5scVSzubfPXKa1OitC%2BpvkGeE%2F0mdAFECXgHuN7IQciFxO%2B4%2B1P8Nh0Ea1DOr5iuhBePRjJkKznSK%2B0o249szntDyGwo%2F7spQrniGl9tNAX%2BpP73EnEEWm5BuJFHxMbui6wFbgKg%2B1Z2BoGMibKvIF86vX7TgLtIFZn3FW3A3ACBD5q16fxotZcfGXiZmQcFbytJFcf3hrDnWX%2FzYak%2BKWuRdILftJ1u5J4t9Nt%2FWdw3TqDywvCPHanF0DwfSh2863Vd9PAnehBsFvKsrETmOaIyG0BPkk%2BXPLu1uSnwU6Oq8Z%2BuKQqbNTJax8xwN%2F8dYU1EjL6o%2FVkS5hl4LiP7j54t88IrvtrsThq0iaeMW5yYVAfkxXf7OyUX9f0hy4ul54lRQ8Gc7sE7avzT3fJ9xly4CYxYngGI%2BHaHlB9kIZmbTXg2voLZlmTbPm6lnkBgaMFEbhhyQGooIolH88lcOEooPW88RnOx2WBo4cGuvSCKQygABVl6SUOmp%2FI9zi3DgAz0g45NW0Oit%2F1kG%2BCogWspBslJWm61Fx9megkkJ%2FkyYE1t%2B3w2RyOe08%2Fn2EqfNiBjZnKtxssvWNSEIk0xxZwR41N62I18bA2sWXqrjoW6DYwFdUsrEE3JGDI4FLGbm8NikQD%2B9gFmvFsIk3%2Bp83uZJnOxXs%2FVeYfrDeYUx8KyV8QA9MDlYQiQanEL4yLrd7oVZMUaJGznlpX2YFSr%2BcU%2Bn4n8vUScwiCeNqAd7RCdVo4eP%2BHkAUqwcrkL3ssiOBO0B41zjZLUs04%2F4uRw82HWOtW7CCZW3Y1Hh6V0UG5TDAkOAbpsUOskCvJVaz5rJIauZxZtVjwoT%2FOPZQiYn57Bf93KyJ0Q0jPt4oMyoOA7xVVUxVIKzG%2Ffhwd0x0ngfFOR8KPpttmEofT0Ph%2FgmIeiaSMkQ1KgW0q21heM4AEC7KHHlWIPjDGOkAYwlAD%2FcO3ZDfvXlD%2BnU3zd0IBavLbZKwASaZwsRTSvSChwf1FQgtVgtvOF2%2BCNaKTbcokdZedUulL0%3D,$,48.597,,False,True
Golty Balón Futbol Dualtech Profesional - T659637 N° 5,https://articulo.mercadolibre.com.co/MCO-564305326-golty-balon-futbol-dualtech-profesional-t659637-n-5-_JM#searchVariation=56975018688&position=10&type=item&tracking_id=1cbdcadf-6578-4e5b-9bc5-65c9ee73482b,$,94.900,,False,False
