name,link,price_simbol,price,price_discount,best_seller,promotional
Antifrío Máscara Antifaz De Neopreno Deportes Ciclismo Moto,https://articulo.mercadolibre.com.mx/MLM-815071787-antifrio-mascara-antifaz-de-neopreno-deportes-ciclismo-moto-_JM?searchVariation=63660630357#searchVariation=63660630357&position=1&type=item&tracking_id=e9613433-e429-4609-bff4-7436e98c2fef,$,37,,False,False
Jersey De Ciclismo Con Mangas Cortas,https://articulo.mercadolibre.com.mx/MLM-764258798-jersey-de-ciclismo-con-mangas-cortas-_JM?searchVariation=52626027087#searchVariation=52626027087&position=2&type=item&tracking_id=e9613433-e429-4609-bff4-7436e98c2fef,$,737,,False,False
Guantes Con Almohadillas De Gel Para Bicicleta De Montaña,https://articulo.mercadolibre.com.mx/MLM-784127652-guantes-con-almohadillas-de-gel-para-bicicleta-de-montana-_JM?searchVariation=57800278761#searchVariation=57800278761&position=3&type=item&tracking_id=e9613433-e429-4609-bff4-7436e98c2fef,$,128,,False,False
Luz Trasera De Bicicleta Recargable Ipx-4 Impermeable,https://articulo.mercadolibre.com.mx/MLM-808776477-luz-trasera-de-bicicleta-recargable-ipx-4-impermeable-_JM#position=4&type=item&tracking_id=e9613433-e429-4609-bff4-7436e98c2fef,$,55,,False,False
"Ciclismo, Gel, Calzon, Boxer, Bicicleta, Spin",https://articulo.mercadolibre.com.mx/MLM-759531970-ciclismo-gel-calzon-boxer-bicicleta-spin-_JM?searchVariation=51247139690#searchVariation=51247139690&position=5&type=item&tracking_id=e9613433-e429-4609-bff4-7436e98c2fef,$,254,,False,False
Guantes De Carreras Ciclismo Moto Con Pantalla Tácti Touch,https://articulo.mercadolibre.com.mx/MLM-796734661-guantes-de-carreras-ciclismo-moto-con-pantalla-tacti-touch-_JM?searchVariation=60503033432#searchVariation=60503033432&position=6&type=item&tracking_id=e9613433-e429-4609-bff4-7436e98c2fef,$,117,,False,False
Gafas Deportivas De Ciclismo Nexwills A Prueba De Viento,https://articulo.mercadolibre.com.mx/MLM-783085936-gafas-deportivas-de-ciclismo-nexwills-a-prueba-de-viento-_JM#position=7&type=item&tracking_id=e9613433-e429-4609-bff4-7436e98c2fef,$,47,,False,False
Antifrío Máscara Antifaz De Neopreno Deportes Ciclismo Moto,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=uWgdiCF87UND%2B5n7iYYZ1MD%2BAIOXIIUgnzmSbdFozlq1Bb8azy9e%2FWK39LyPKbo2bafnmVBnwTuDJaF0VUcu0%2FA52mjKYGbPIXYrlM0Jx0gczXBDHkSqd%2BhuHvcy2klaHOnKtzcLIsiF5Psam%2FpqDf74bUV%2BCWFznASWMjwKOm2Xe9%2FkoEjBQU7ZhrvkDT%2B12NVErztOp4pO8MdJBDZu8wvS0OxGRpKjsgCzauBtI5HsTqIbWjf8P9sHeFdssdxGgXuy8B0A5qRfTW6s8xigp6JGisjWbBhgRIUPiC2%2BPtMOSsZMDDC%2FkX9kKEM3Ey5iTU2KiPi2kEQbLBRj%2FnmzYVLU4UdrVFFdCI0JAFo9qsXF5gsLxxiNgmaIH4NJQ%2FBsjcTThOszg5lyKNIrs6D7CJjcyvO2u1FjWNFknuKwWbtTcEmQLD5gsO6ifI4yLdmH5daV%2FjnnkyXFTfqc%2BNMRAHQvLXGMhh8qgG07%2Bgp2LD52y7IdcN%2FSTRt8KJggvDeH6WOA9LwAY27RjlIfY04%2FTiVz5NX16t5XoKsk9hUfb2jvT7HEczqUARVULhf1PHLSma6hfOYOhA6wBMBETggjedWlrhrsC1VdApHwDWcGXMjbAATt%2FgCg3ESMfHWUDg0WNib8JcSLiEsc%2FHXnhv0ufXGsb%2FbtSsCyCfW5FLlNBGKuT%2BlFObfE3YNnIz49a5IJIUreghZfdBPMQSVK3oCLuyGB%2FJp8qU4bugYci%2F03d5HbbN6xKtUMmkmPbwu0f6u5%2FJQzxGLL2HqWWbospuFAXb7Wik89d2EgWM6GubNrOiGmGFR6xdF1mScI9WRk5h3PntF6Anc5b%2BRR3ZDQ27iIqnZw9qT8CJujktgoxGympd79yXS86YkbJPaJI9XH3l8%2FfooMhebmNwKoYwijMBS%2BjLBlzibC9OaawIZ00gFGJDNFzolHj9IskMhIbudkQ9nMu%2BWfLUfMpX4EqJa%2BnL4wpq89BDZOAsfLl92vCB26ZxoAobAVdgj2euJMmw4WhDf65NlkTgFW8rwYjSOi2nmD%2BEkM3P4FNmXZ0ElFAOZTSEItXJNPTjT0%2BvvNdZcF3V5LqHU3bigHRy3GPxRVDbPL0MkoexMejvpHTtAvMAmthHxOs938fsTQH0TvYCtEQWy934GQw0r%2B3T5bgo%2F9tGDIQBiSu1MmGvSQruLc%2FFR9bBYMSPdi9JfJ4TcHr87pWVUhaLY9P1JP6iGVqXlO5jmpJTrh66sdTHrpM8vanFGlgZB%2FRi1sZLmBs04tcQrkVdm6SVcR1hC9lXgN7cwMuqsbfPssrE4tRMmBJ0qZia6FfSiSNzTRsyWvtD%2FyuXkwY9Wfbl57AyPyYlNEQSU5HKxexPObA6UrhfZttEhPffGfO2mowQ4MjaA1m4doKmmY9yFfve%2F%2BB0zjno47pC9hiO7vNc7Gk8SIrV4dWQ%2BaaG4m4mxX2KkC8m0FMjQrWUww0Xic7xk3rAzykOwA%2F8dw%2F5KFUn%2BAbBJpyZxrUyjLi3t5cChd6MUdPUEK7lKIlheTcCRUTt%2FOb%2FY34g%3D%3D,$,37,,False,True
Guantes Con Almohadillas De Gel Para Bicicleta De Montaña,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=IWkOjjjh6%2BNxi8REQ5JobUAculBIfo3pm3QjLF9Morj2a%2FkkATpUW4CIxA2V%2FJgb4VVVu1oppeP2sniXv1Cf%2BaejBRTJSu20JIdLgejl8icNfepcplqaeztt9u35GvXvSXZhU%2BZJ5%2FJYKPUslLRuYCNluMP%2BXBj8Bab8OAGmA3NI0ziVuRaqyyJtOsnI6plittlW3FVT31%2BOWN2lw9eUIy7mgpcIPVbzYhwEKimQ7aKn7pFP0n59Vos4HHTVYUQveGKnMyF0%2F8mMLO9piUk4aNzDx7Tw3oOa4wh0KxcfhKuOzCvZ45GrkQcNFIvruDKcNzYJ8hx0M3nZZ64DFKSDzNu7IevMF2Kdxuut3k8KmytFBqmbw4MjbnvTw7zLS%2BhUZrckcLe1ffRsUVNXdJldWopoUDRy9Kk04kGNdKaJIgAEwoCvbXKpIkuRwyLuhpQiWFdOhH1NTnqh98Lq4b857waf6sPtOVwG0lidURx1svLcusrpneLVz2ORAIS4AShAAUWvugkRUDngqKKZ5G6YeyO4a9Z%2FYFEKznGu0EZ28iJTffAJdJ6kn7OawA1riHO0JfLzT8VUqmBI6LDHFfo1Xn1uvHokguvG%2Fh4X8jOt4bh4JGzdZY0Qmk3AN4zpLjXRNUolWXwNNitbKvBJmFsYWncAOckC6ojybQUjAjQlYV5dh9gBbrNhSBGhzWH%2BDOpuSKHn3CXyr%2FlR6vb%2FMjvE6DjiEgsgwbJ8NKtbsC9u03%2B5MNcIx%2BNhbBpIqUHoRK%2BcK6S4B1tK38YRVSH1L78EdqgK88v9IZfZmqDCWiGCLd99YMkV0ehbX8ghO7X8YUmZZLHeKcBSf1KHNteA5BI5K0wCc3kyykHj6lJJK9QkNt9BsOWksjhOzdl9czf%2FOqxJHbZCYZSOt4nUKhU9nlo8%2FeUOCebQgSJKa3VpcpbB3q48Ed4DXBdAeQihiiMz4mjHJBtYYZ%2FqUdMRxu2t5aYaz1N%2Ftxpz9%2FMCugOleXunh5aFt9EolGBvEHDC%2B%2FWUhTbimo3gJWwpiO2MNCtrNly18dHgRIH%2BU3FVy7qrWz%2FrdSpBRTQ%2BvrMMp6ar5sNEk4dQIuuG%2B8UegW6NSeablWUhCsEdf6xVGHKyCG%2BYf02UBFw9Z2RVS6I5Y%2BxgZ0CUocOsPqFLdbvjSNV3lmALl%2Bq9Ycxz%2BK%2FqaIkdYOnlmGOXy8cm%2FZQkGSt%2B4cC4yqAQjXUD5oFyb%2FtxjnPTWtVq5VAVzcW5q9Z0c52sjyx%2BHuWoZ9gpS4at9oTImTl40bSmERRb9d310RkxL1E65pTBa8T8eIqcTpJBeb8ayX2s4t7uVrenDU%2FENMn2IbQqthgX2bM3RKOPXNKeJlMJLeDzivYEJsB8NyM9UweBqj9zyJGpU%2B1oZCo%2BN%2BHlNdmI8TbGm1YzaR2w5b%2BniI5F3FZIgQsaBfXcVgqtTavjWDUfVdt2oJoHpDxwWkYlRqNA9hmiJhk5adTkQy5nUQqek8X4FYLbdkMGEDbIv8%2Bgg2ukm3Fd1e4t1xZrMM9gPRwRJRoi6eLlXhG4BHo%3D,$,128,,False,True
Balatas Shimano Tektro Avid Elixir Sram Hope Hayes Formula,https://articulo.mercadolibre.com.mx/MLM-623259134-balatas-shimano-tektro-avid-elixir-sram-hope-hayes-formula-_JM#position=10&type=item&tracking_id=e9613433-e429-4609-bff4-7436e98c2fef,$,69,,False,False
