id,uid,name,parent,href,hierarchy,subcategories
MCO1747,49271800-8695-11eb-b58f-031e1c58a5a1,Accesorios para Vehículos,"(None,)",https://www.mercadolibre.com.co/c/accesorios-para-vehiculos#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1747&c_uid=49271800-8695-11eb-b58f-031e1c58a5a1,1,19
MCO441917,49271801-8695-11eb-b58f-031e1c58a5a1,Agro,"(None,)",https://www.mercadolibre.com.co/c/agro#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO441917&c_uid=49271801-8695-11eb-b58f-031e1c58a5a1,1,8
MCO1403,49271802-8695-11eb-b58f-031e1c58a5a1,Alimentos y Bebidas,"(None,)",https://www.mercadolibre.com.co/c/alimentos-y-bebidas#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1403&c_uid=49271802-8695-11eb-b58f-031e1c58a5a1,1,7
MCO1071,49271803-8695-11eb-b58f-031e1c58a5a1,Animales y Mascotas,"(None,)",https://www.mercadolibre.com.co/c/animales-y-mascotas#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1071&c_uid=49271803-8695-11eb-b58f-031e1c58a5a1,1,10
MCO1367,49271804-8695-11eb-b58f-031e1c58a5a1,Antigüedades y Colecciones,"(None,)",https://www.mercadolibre.com.co/c/antiguedades-y-colecciones#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1367&c_uid=49271804-8695-11eb-b58f-031e1c58a5a1,1,8
MCO1368,49271805-8695-11eb-b58f-031e1c58a5a1,"Arte, Papelería y Mercería","(None,)",https://www.mercadolibre.com.co/c/arte-papeleria-y-merceria#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1368&c_uid=49271805-8695-11eb-b58f-031e1c58a5a1,1,8
MCO1384,49271806-8695-11eb-b58f-031e1c58a5a1,Bebés,"(None,)",https://www.mercadolibre.com.co/c/bebes#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1384&c_uid=49271806-8695-11eb-b58f-031e1c58a5a1,1,15
MCO1246,49271807-8695-11eb-b58f-031e1c58a5a1,Belleza y Cuidado Personal,"(None,)",https://www.mercadolibre.com.co/c/belleza-y-cuidado-personal#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1246&c_uid=49271807-8695-11eb-b58f-031e1c58a5a1,1,13
MCO40433,492b0fa0-8695-11eb-b58f-031e1c58a5a1,Boletas para Espectáculos,"(None,)",https://www.mercadolibre.com.co/c/boletas-para-espectaculos#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO40433&c_uid=492b0fa0-8695-11eb-b58f-031e1c58a5a1,1,7
MCO1039,49271808-8695-11eb-b58f-031e1c58a5a1,Cámaras y Accesorios,"(None,)",https://www.mercadolibre.com.co/c/camaras-y-accesorios#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1039&c_uid=49271808-8695-11eb-b58f-031e1c58a5a1,1,11
MCO1743,492b36b0-8695-11eb-b58f-031e1c58a5a1,"Carros, Motos y Otros","(None,)",https://www.mercadolibre.com.co/vehiculos/#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1743&c_uid=492b36b0-8695-11eb-b58f-031e1c58a5a1,1,7
MCO1051,49271809-8695-11eb-b58f-031e1c58a5a1,Celulares y Teléfonos,"(None,)",https://www.mercadolibre.com.co/c/celulares-y-telefonos#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1051&c_uid=49271809-8695-11eb-b58f-031e1c58a5a1,1,10
MCO1648,4927180a-8695-11eb-b58f-031e1c58a5a1,Computación,"(None,)",https://www.mercadolibre.com.co/c/computacion#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1648&c_uid=4927180a-8695-11eb-b58f-031e1c58a5a1,1,20
MCO1144,4927180b-8695-11eb-b58f-031e1c58a5a1,Consolas y Videojuegos,"(None,)",https://www.mercadolibre.com.co/c/consolas-y-videojuegos#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1144&c_uid=4927180b-8695-11eb-b58f-031e1c58a5a1,1,7
MCO1276,4927180c-8695-11eb-b58f-031e1c58a5a1,Deportes y Fitness,"(None,)",https://www.mercadolibre.com.co/c/deportes-y-fitness#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1276&c_uid=4927180c-8695-11eb-b58f-031e1c58a5a1,1,40
MCO5726,4927180d-8695-11eb-b58f-031e1c58a5a1,Electrodomésticos,"(None,)",https://www.mercadolibre.com.co/c/electrodomesticos#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO5726&c_uid=4927180d-8695-11eb-b58f-031e1c58a5a1,1,8
MCO1000,4927180e-8695-11eb-b58f-031e1c58a5a1,"Electrónica, Audio y Video","(None,)",https://www.mercadolibre.com.co/c/electronica-audio-y-video#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1000&c_uid=4927180e-8695-11eb-b58f-031e1c58a5a1,1,15
MCO175794,4927180f-8695-11eb-b58f-031e1c58a5a1,Herramientas y Construcción,"(None,)",https://www.mercadolibre.com.co/c/herramientas-y-construccion#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO175794&c_uid=4927180f-8695-11eb-b58f-031e1c58a5a1,1,10
MCO1574,49271810-8695-11eb-b58f-031e1c58a5a1,Hogar y Muebles,"(None,)",https://www.mercadolibre.com.co/c/hogar-y-muebles#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1574&c_uid=49271810-8695-11eb-b58f-031e1c58a5a1,1,12
MCO1499,49271811-8695-11eb-b58f-031e1c58a5a1,Industrias y Oficinas,"(None,)",https://www.mercadolibre.com.co/c/industrias-y-oficinas#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1499&c_uid=49271811-8695-11eb-b58f-031e1c58a5a1,1,13
MCO1459,492b5dc0-8695-11eb-b58f-031e1c58a5a1,Inmuebles,"(None,)",http://www.mercadolibre.com.co/inmuebles/#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1459&c_uid=492b5dc0-8695-11eb-b58f-031e1c58a5a1,1,15
MCO1182,49273f10-8695-11eb-b58f-031e1c58a5a1,Instrumentos Musicales,"(None,)",https://www.mercadolibre.com.co/c/instrumentos-musicales#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1182&c_uid=49273f10-8695-11eb-b58f-031e1c58a5a1,1,12
MCO1132,49273f11-8695-11eb-b58f-031e1c58a5a1,Juegos y Juguetes,"(None,)",https://www.mercadolibre.com.co/c/juegos-y-juguetes#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1132&c_uid=49273f11-8695-11eb-b58f-031e1c58a5a1,1,25
