id,uid,parent,name,href,index,hierarchy,subcategories
MCO1747,,,Accesorios para Vehículos,https://www.mercadolibre.com.co/c/accesorios-para-vehiculos#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1747&c_uid=001cd1c0-8980-11eb-a980-f31648a7fc15,0,1,19
MCO441917,,,Agro,https://www.mercadolibre.com.co/c/agro#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO441917&c_uid=001cd1c1-8980-11eb-a980-f31648a7fc15,1,1,8
MCO1403,,,Alimentos y Bebidas,https://www.mercadolibre.com.co/c/alimentos-y-bebidas#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1403&c_uid=00250f20-8980-11eb-a980-f31648a7fc15,2,1,7
MCO1071,,,Animales y Mascotas,https://www.mercadolibre.com.co/c/animales-y-mascotas#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1071&c_uid=001d1fe0-8980-11eb-a980-f31648a7fc15,3,1,10
MCO1367,,,Antigüedades y Colecciones,https://www.mercadolibre.com.co/c/antiguedades-y-colecciones#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1367&c_uid=001d1fe1-8980-11eb-a980-f31648a7fc15,4,1,8
MCO1368,,,"Arte, Papelería y Mercería",https://www.mercadolibre.com.co/c/arte-papeleria-y-merceria#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1368&c_uid=001d1fe2-8980-11eb-a980-f31648a7fc15,5,1,8
MCO1384,,,Bebés,https://www.mercadolibre.com.co/c/bebes#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1384&c_uid=001d1fe3-8980-11eb-a980-f31648a7fc15,6,1,15
MCO1246,,,Belleza y Cuidado Personal,https://www.mercadolibre.com.co/c/belleza-y-cuidado-personal#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1246&c_uid=001d1fe4-8980-11eb-a980-f31648a7fc15,7,1,13
MCO40433,,,Boletas para Espectáculos,https://www.mercadolibre.com.co/c/boletas-para-espectaculos#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO40433&c_uid=001d1fe5-8980-11eb-a980-f31648a7fc15,8,1,7
MCO1039,,,Cámaras y Accesorios,https://www.mercadolibre.com.co/c/camaras-y-accesorios#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1039&c_uid=001d1fe6-8980-11eb-a980-f31648a7fc15,9,1,11
MCO1743,,,"Carros, Motos y Otros",https://www.mercadolibre.com.co/vehiculos/#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1743&c_uid=00258451-8980-11eb-a980-f31648a7fc15,10,1,7
MCO1051,,,Celulares y Teléfonos,https://www.mercadolibre.com.co/c/celulares-y-telefonos#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1051&c_uid=001d1fe7-8980-11eb-a980-f31648a7fc15,11,1,10
MCO1648,,,Computación,https://www.mercadolibre.com.co/c/computacion#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1648&c_uid=001d1fe8-8980-11eb-a980-f31648a7fc15,12,1,20
MCO1144,,,Consolas y Videojuegos,https://www.mercadolibre.com.co/c/consolas-y-videojuegos#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1144&c_uid=00250f21-8980-11eb-a980-f31648a7fc15,13,1,7
MCO172890,,,Construcción,https://www.mercadolibre.com.co/c/construccion#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO172890&c_uid=001d46f0-8980-11eb-a980-f31648a7fc15,14,1,11
MCO1276,,,Deportes y Fitness,https://www.mercadolibre.com.co/c/deportes-y-fitness#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1276&c_uid=001d46f1-8980-11eb-a980-f31648a7fc15,15,1,40
MCO5726,,,Electrodomésticos,https://www.mercadolibre.com.co/c/electrodomesticos#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO5726&c_uid=001d46f2-8980-11eb-a980-f31648a7fc15,16,1,8
