id,uid,parent,name,href,index,hierarchy,subcategories
MCO1747,71754120-88b5-11eb-ae51-f51faade9a0c,,Accesorios para Vehículos,https://www.mercadolibre.com.co/c/accesorios-para-vehiculos#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1747&c_uid=71754120-88b5-11eb-ae51-f51faade9a0c,0,1,19
MCO441917,71754121-88b5-11eb-ae51-f51faade9a0c,,Agro,https://www.mercadolibre.com.co/c/agro#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO441917&c_uid=71754121-88b5-11eb-ae51-f51faade9a0c,1,1,8
MCO1403,71828790-88b5-11eb-ae51-f51faade9a0c,,Alimentos y Bebidas,https://www.mercadolibre.com.co/c/alimentos-y-bebidas#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1403&c_uid=71828790-88b5-11eb-ae51-f51faade9a0c,2,1,7
MCO1071,718594d0-88b5-11eb-ae51-f51faade9a0c,,Animales y Mascotas,https://www.mercadolibre.com.co/c/animales-y-mascotas#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1071&c_uid=718594d0-88b5-11eb-ae51-f51faade9a0c,3,1,10
MCO1367,71756830-88b5-11eb-ae51-f51faade9a0c,,Antigüedades y Colecciones,https://www.mercadolibre.com.co/c/antiguedades-y-colecciones#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1367&c_uid=71756830-88b5-11eb-ae51-f51faade9a0c,4,1,8
MCO1368,71834ae0-88b5-11eb-ae51-f51faade9a0c,,"Arte, Papelería y Mercería",https://www.mercadolibre.com.co/c/arte-papeleria-y-merceria#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1368&c_uid=71834ae0-88b5-11eb-ae51-f51faade9a0c,5,1,8
MCO1384,71756831-88b5-11eb-ae51-f51faade9a0c,,Bebés,https://www.mercadolibre.com.co/c/bebes#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1384&c_uid=71756831-88b5-11eb-ae51-f51faade9a0c,6,1,15
MCO1246,71756832-88b5-11eb-ae51-f51faade9a0c,,Belleza y Cuidado Personal,https://www.mercadolibre.com.co/c/belleza-y-cuidado-personal#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1246&c_uid=71756832-88b5-11eb-ae51-f51faade9a0c,7,1,13
MCO40433,71756833-88b5-11eb-ae51-f51faade9a0c,,Boletas para Espectáculos,https://www.mercadolibre.com.co/c/boletas-para-espectaculos#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO40433&c_uid=71756833-88b5-11eb-ae51-f51faade9a0c,8,1,7
MCO1039,71865820-88b5-11eb-ae51-f51faade9a0c,,Cámaras y Accesorios,https://www.mercadolibre.com.co/c/camaras-y-accesorios#c_id=/home/categories/category-l1/category-l1&c_category_id=MCO1039&c_uid=71865820-88b5-11eb-ae51-f51faade9a0c,9,1,11
